Tijd,Volume
0.0,0.0
0.10001,0.01
0.2,0.02
0.3,0.03
0.4,0.04001
0.5,0.05001
0.6,0.06001
0.7,0.07001
0.8,0.08001
0.9,0.09
1.0,0.1
1.1,0.11
1.2,0.12
1.3,0.13
1.4,0.14
1.5,0.15001
1.6,0.16001
1.7,0.17001
1.8,0.18001
1.9,0.19001
2.0,0.20001
2.10001,0.21001
2.20001,0.22001
2.30001,0.23001
2.40001,0.24001
2.50001,0.25001
2.60001,0.26001
2.70001,0.27001
2.80001,0.28001
2.90001,0.29001
3.00001,0.30001
3.10001,0.31001
3.20001,0.32001
3.30001,0.33001
3.40001,0.34001
3.50001,0.35001
3.60001,0.36001
3.70001,0.37001
3.80001,0.38001
3.90001,0.39001
4.00001,0.40001
4.10001,0.41001
4.20001,0.42001
4.30001,0.43001
4.40001,0.44001
4.50001,0.45001
4.60001,0.46001
4.70001,0.47001
4.80001,0.48001
4.90001,0.49001
5.00001,0.50001
5.10001,0.51001
5.20001,0.52001
5.30001,0.53001
5.40001,0.54001
5.50001,0.55001
5.60001,0.56001
5.70001,0.57001
5.8,0.58
5.9,0.59
6.0,0.6
6.1,0.61
6.2,0.62
6.3,0.63
6.4,0.64
6.5,0.65
6.6,0.66
6.7,0.67
6.8,0.68
6.9,0.69
7.0,0.7
7.1,0.71
7.2,0.72
7.3,0.73
7.4,0.74
7.5,0.75
7.6,0.76
7.7,0.77
7.8,0.78
7.9,0.79
8.0,0.8
8.1,0.81
8.2,0.82
8.3,0.83
8.4,0.84
8.5,0.85
8.6,0.86
8.7,0.87
8.8,0.88
8.9,0.89
9.0,0.9
9.1,0.91
9.2,0.92
9.3,0.93
9.4,0.94
9.5,0.95
9.6,0.96
9.7,0.97
9.8,0.98
9.9,0.99
10.0,1.0
10.1,1.01
10.2,1.02
10.3,1.03
10.4,1.04
10.5,1.05
10.6,1.06
10.7,1.07
10.8,1.08
10.9,1.09
11.0,1.1
11.1,1.11
11.2,1.12
11.3,1.13
11.4,1.14
11.5,1.15
11.6,1.16
11.7,1.17
11.8,1.18
11.9,1.19
12.0,1.2
12.1,1.21
12.2,1.22
12.3,1.23
12.4,1.24
12.5,1.25
12.6,1.26
12.7,1.27
12.8,1.28
12.9,1.29
13.0,1.30001
13.1,1.31001
13.2,1.32001
13.3,1.33001
13.4,1.34001
13.5,1.35001
13.6,1.36001
13.7,1.37001
13.8,1.38001
13.9,1.39001
14.0,1.40001
14.1,1.41001
14.2,1.42001
14.3,1.43001
14.4,1.44001
14.5,1.45001
14.6,1.46001
14.7,1.47001
14.8,1.48001
14.9,1.49001
15.0,1.50001
15.1,1.51001
15.2,1.52001
15.3,1.53001
15.4,1.54001
15.5,1.55001
15.6,1.56001
15.7,1.57001
15.8,1.58001
15.9,1.59001
16.0,1.60001
16.1,1.61001
16.2,1.62001
16.3,1.63001
16.4,1.64001
16.5,1.65001
16.6,1.66001
16.7,1.67001
16.8,1.68001
16.9,1.69001
17.0,1.70001
17.1,1.71001
17.2,1.72001
17.3,1.73001
17.4,1.74001
17.5,1.75001
17.6,1.76001
17.7,1.77001
17.8,1.78001
17.9,1.79001
18.0,1.80001
18.1,1.81001
18.2,1.82001
18.3,1.83001
18.4,1.84001
18.5,1.85001
18.6,1.86001
18.7,1.87001
18.8,1.88001
18.9,1.89001
19.0,1.90001
19.1,1.91001
19.2,1.92001
19.3,1.93001
19.4,1.94001
19.5,1.95001
19.6,1.96001
19.7,1.97001
19.8,1.98001
19.9,1.99001
20.0,2.00001
20.1,2.01001
20.2,2.02001
20.3,2.03001
20.4,2.04001
20.5,2.05001
20.6,2.06001
20.7,2.07001
20.8,2.08001
20.9,2.09001
21.0,2.10001
21.1,2.11001
21.2,2.12001
21.3,2.13001
21.4,2.14001
21.5,2.15001
21.6,2.16001
21.7,2.17001
21.8,2.18001
21.9,2.19001
22.0,2.20001
22.1,2.21001
22.2,2.22001
22.3,2.23001
22.4,2.24001
22.5,2.25001
22.6,2.26001
22.7,2.27001
22.8,2.28001
22.9,2.29001
23.0,2.30001
23.1,2.31001
23.2,2.32001
23.3,2.33001
23.4,2.34001
23.5,2.35001
23.6,2.36001
23.7,2.37001
23.8,2.38001
23.9,2.39001
24.0,2.40001
24.1,2.41001
24.2,2.42001
24.3,2.43001
24.4,2.44001
24.5,2.45001
24.6,2.46001
24.7,2.47001
24.8,2.48001
24.9,2.49001
25.0,2.50001
25.1,2.51001
25.2,2.52001
25.3,2.53001
25.4,2.54001
25.5,2.55001
25.6,2.56001
25.7,2.57001
25.8,2.58001
25.9,2.59001
26.0,2.60001
26.1,2.61001
26.2,2.62001
26.3,2.63001
26.4,2.64001
26.5,2.65001
26.6,2.66001
26.7,2.67001
26.8,2.68001
26.9,2.69001
27.0,2.70001
27.1,2.71001
27.2,2.72001
27.3,2.73001
27.4,2.74001
27.5,2.75001
27.6,2.76001
27.7,2.77001
27.8,2.78001
27.9,2.79001
28.0,2.80001
28.1,2.81001
28.2,2.82001
28.3,2.83001
28.4,2.84001
28.5,2.85001
28.6,2.86001
28.7,2.87001
28.8,2.88001
28.9,2.89001
29.0,2.90001
29.1,2.91001
29.2,2.92001
29.3,2.93001
29.4,2.94001
29.5,2.95001
29.6,2.96001
29.7,2.97001
29.8,2.98001
29.9,2.99001
30.0,3.00001
30.1,3.01001
30.2,3.02001
30.3,3.03001
30.4,3.04001
30.5,3.05001
30.6,3.06001
30.7,3.07001
30.8,3.08001
30.9,3.09001
31.0,3.10001
31.1,3.11001
31.2,3.12001
31.3,3.13001
31.4,3.14001
31.5,3.15001
31.6,3.16001
31.7,3.17001
31.8,3.18001
31.9,3.19001
32.0,3.20001
32.1,3.21001
32.2,3.22001
32.3,3.23001
32.4,3.24001
32.5,3.25001
32.6,3.26001
32.7,3.27001
32.8,3.28001
32.9,3.29001
33.0,3.30001
33.1,3.31001
33.2,3.32001
33.3,3.33001
33.4,3.34001
33.5,3.35001
33.6,3.36001
33.7,3.37001
33.8,3.38001
33.90001,3.39001
34.00001,3.40001
34.10001,3.41001
34.20001,3.42001
34.30001,3.43001
34.40001,3.44001
34.50001,3.45001
34.60001,3.46001
34.70001,3.47001
34.80001,3.48001
34.90001,3.49001
35.00001,3.50001
35.10001,3.51001
35.20001,3.52001
35.30001,3.53001
35.40001,3.54001
35.50001,3.55001
35.60001,3.56001
35.70001,3.57001
35.80001,3.58001
35.90001,3.59001
36.00001,3.60001
36.10001,3.61001
36.20001,3.62001
36.30001,3.63001
36.40001,3.64001
36.50001,3.65001
36.60001,3.66001
36.70001,3.67001
36.80001,3.68001
36.90001,3.69001
37.00001,3.70001
37.10001,3.71001
37.20001,3.72001
37.30001,3.73001
37.40001,3.74001
37.50001,3.75001
37.60001,3.76001
37.70001,3.77001
37.80001,3.78001
37.90001,3.79001
38.00001,3.80001
38.10001,3.81001
